sca,wavelength,field_point,local_x,local_y,global_x,global_y,axis_local_angle_x,axis_local_angle_y,wfe_rms_waves,wfe_pv_waves,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22
1,1.06,2,-20.44,20.44,-42.58,32.59,-0.134,-0.099,0.08218215,0.41294585,0.13126455,-0.03889519,0.02183631,0.07578805,0.01550158,-0.02039107,0.00998915,-0.01491033,-0.00461764,0.00280909,0.00088295,-0.00051609,-0.00046158,-0.00004329,-0.00001737,-0.00062614,0.00123285,-0.00000055,0.00020328,0.00000277,-0.00000052,0.00073342
1,1.06,3,-20.44,-20.44,-42.58,-8.29,-0.134,0.025,0.05026745,0.29080849,0.07100645,-0.02951547,0.01796435,0.04024311,0.01515701,-0.0187299,0.00926064,-0.01158966,-0.00873622,0.00510655,0.00029644,-0.00094839,-0.00059948,-0.00007363,-0.00003468,-0.00062363,0.00158091,0.0000003,0.00019986,0.00000252,0.00000034,0.00073194
1,1.06,4,20.44,-20.44,-1.7,-8.29,-0.008,0.024,0.05449433,0.33099255,0.0798775,-0.00403097,0.02449416,0.04541027,0.01709825,-0.01934631,0.01156954,-0.0019226,-0.00997519,-0.00052029,0.00033196,-0.00101042,-0.00008892,-0.00008253,0.00001141,-0.00026632,0.00158111,-0.00000253,0.00019916,0.00000369,0.00000041,0.0007322
1,1.06,5,20.44,20.44,-1.7,32.59,-0.008,-0.099,0.08996465,0.46210651,0.14684891,-0.00410685,0.02665703,0.08483718,0.01682087,-0.02096041,0.01169382,-0.00194669,-0.00559123,-0.00042574,0.00092315,-0.00057958,-0.00007708,-0.00004674,0.0000071,-0.00026484,0.00123305,-0.00000224,0.00020272,0.0000035,-0.00000054,0.00073368
1,1.192,1,0,0,-22.14,12.15,-0.071,-0.037,0.06150189,0.34213012,0.0959035,-0.01767247,0.02428217,0.05509159,0.01423258,-0.01819815,0.01088984,-0.00698286,-0.0064494,0.00155216,0.00056723,-0.00067853,-0.0002719,-0.00005486,-0.00000742,-0.00039587,0.00125248,-0.00000113,0.00017909,0.00000277,-0.00000004,0.00065163
1,1.192,2,-20.44,20.44,-42.58,32.59,-0.134,-0.099,0.07337218,0.3683151,0.11728233,-0.0345981,0.0194061,0.06771465,0.01376395,-0.01813321,0.00887871,-0.01326277,-0.0041063,0.00249922,0.0007848,-0.00045896,-0.00041047,-0.00003849,-0.00001544,-0.00055681,0.00109633,-0.00000049,0.00018077,0.00000247,-0.00000046,0.00065221
1,1.192,3,-20.44,-20.44,-42.58,-8.29,-0.134,0.025,0.0449423,0.25862805,0.06366555,-0.0262572,0.01597248,0.03608764,0.01347229,-0.01665895,0.00823426,-0.01030988,-0.00776879,0.00454225,0.00026321,-0.00084338,-0.00053307,-0.00006547,-0.00003084,-0.00055458,0.00140585,0.00000027,0.00017773,0.00000224,0.0000003,0.00065089
1,1.192,4,20.44,-20.44,-1.7,-8.29,-0.008,0.024,0.04871486,0.29539116,0.07157302,-0.00358537,0.02177912,0.04069346,0.01519501,-0.01719898,0.01028745,-0.00170997,-0.00887057,-0.00046153,0.00029482,-0.00089853,-0.00007907,-0.00007339,0.00001014,-0.00023683,0.00140604,-0.00000225,0.00017711,0.00000328,0.00000036,0.00065113
1,1.192,5,20.44,20.44,-1.7,32.59,-0.008,-0.099,0.0803089,0.41201281,0.13115951,-0.00365284,0.02369306,0.07577246,0.01494701,-0.01863144,0.01039463,-0.0017314,-0.00497204,-0.00037744,0.00082056,-0.00051541,-0.00006855,-0.00004157,0.00000632,-0.00023552,0.00109651,-0.00000199,0.00018027,0.00000311,-0.00000048,0.00065243
1,1.131,1,0,0,-22.14,12.15,-0.071,-0.037,0.06468295,0.36006295,0.10080903,-0.01862303,0.02559535,0.05790902,0.01500598,-0.01918081,0.01147841,-0.00735856,-0.00679724,0.00163531,0.00059801,-0.00071513,-0.00028657,-0.00005782,-0.00000781,-0.00041722,0.00132002,-0.00000119,0.00018875,0.00000292,-0.00000004,0.00068678
