====
Starting job 2058606 at Tue 28 Apr 01:09:55 BST 2020 for user dc-rope1.
Running on nodes: m7396
====
1999
Job done, info follows...
       JobID    JobName  Partition     MaxRSS    Elapsed ExitCode 
------------ ---------- ---------- ---------- ---------- -------- 
2058606_1000 FLARES-py+     cosma7              00:00:07      0:0 
2058606_69   FLARES-py+     cosma7              00:00:17      0:0 
2058606_69.+      batch                     0   00:00:17      0:0 
2058606_69.+     extern                  151K   00:00:17      0:0 
2058606_70   FLARES-py+     cosma7              00:00:16      0:0 
2058606_70.+      batch                     0   00:00:16      0:0 
2058606_70.+     extern                  253K   00:00:16      0:0 
2058606_71   FLARES-py+     cosma7              00:00:16    127:0 
2058606_71.+      batch                     0   00:00:16    127:0 
2058606_71.+     extern                  259K   00:00:16      0:0 
2058606_72   FLARES-py+     cosma7              00:00:16      0:0 
2058606_72.+      batch                     0   00:00:16      0:0 
2058606_72.+     extern                  131K   00:00:17      0:0 
2058606_73   FLARES-py+     cosma7              00:00:16      0:0 
2058606_73.+      batch                     0   00:00:16      0:0 
2058606_73.+     extern                  194K   00:00:16      0:0 
2058606_74   FLARES-py+     cosma7              00:00:14      0:0 
2058606_74.+      batch                     0   00:00:14      0:0 
2058606_74.+     extern                  127K   00:00:14      0:0 
2058606_75   FLARES-py+     cosma7              00:00:11      0:0 
2058606_75.+      batch                     0   00:00:11      0:0 
2058606_75.+     extern                  127K   00:00:11      0:0 
2058606_76   FLARES-py+     cosma7              00:00:16      0:0 
2058606_76.+      batch                     0   00:00:16      0:0 
2058606_76.+     extern                  188K   00:00:16      0:0 
2058606_77   FLARES-py+     cosma7              00:00:16      0:0 
2058606_77.+      batch                     0   00:00:16      0:0 
2058606_77.+     extern                  192K   00:00:16      0:0 
2058606_78   FLARES-py+     cosma7              00:00:16      0:0 
2058606_78.+      batch                     0   00:00:16      0:0 
2058606_78.+     extern                  259K   00:00:17      0:0 
2058606_79   FLARES-py+     cosma7              00:00:16      0:0 
2058606_79.+      batch                     0   00:00:16      0:0 
2058606_79.+     extern                  224K   00:00:16      0:0 
2058606_80   FLARES-py+     cosma7              00:00:17      0:0 
2058606_80.+      batch                     0   00:00:17      0:0 
2058606_80.+     extern                  127K   00:00:17      0:0 
2058606_81   FLARES-py+     cosma7              00:00:14      0:0 
2058606_81.+      batch                     0   00:00:14      0:0 
2058606_81.+     extern                  123K   00:00:14      0:0 
2058606_82   FLARES-py+     cosma7              00:00:16      0:0 
2058606_82.+      batch                     0   00:00:16      0:0 
2058606_82.+     extern                  127K   00:00:16      0:0 
2058606_83   FLARES-py+     cosma7              00:00:16      0:0 
2058606_83.+      batch                     0   00:00:16      0:0 
2058606_83.+     extern                  184K   00:00:16      0:0 
2058606_84   FLARES-py+     cosma7              00:00:14      0:0 
2058606_84.+      batch                     0   00:00:14      0:0 
2058606_84.+     extern                  122K   00:00:14      0:0 
2058606_85   FLARES-py+     cosma7              00:00:11      0:0 
2058606_85.+      batch                     0   00:00:11      0:0 
2058606_85.+     extern                  256K   00:00:11      0:0 
2058606_86   FLARES-py+     cosma7              00:00:17      0:0 
2058606_86.+      batch                     0   00:00:17      0:0 
2058606_86.+     extern                  260K   00:00:17      0:0 
2058606_87   FLARES-py+     cosma7              00:00:14      0:0 
2058606_87.+      batch                     0   00:00:14      0:0 
2058606_87.+     extern                  127K   00:00:14      0:0 
2058606_88   FLARES-py+     cosma7              00:00:16      0:0 
2058606_88.+      batch                     0   00:00:16      0:0 
2058606_88.+     extern                  194K   00:00:16      0:0 
2058606_89   FLARES-py+     cosma7              00:00:16      0:0 
2058606_89.+      batch                     0   00:00:16      0:0 
2058606_89.+     extern                  127K   00:00:16      0:0 
2058606_90   FLARES-py+     cosma7              00:00:17      0:0 
2058606_90.+      batch                     0   00:00:17      0:0 
2058606_90.+     extern                  119K   00:00:17      0:0 
2058606_91   FLARES-py+     cosma7              00:00:13      0:0 
2058606_91.+      batch                     0   00:00:13      0:0 
2058606_91.+     extern                  193K   00:00:13      0:0 
2058606_92   FLARES-py+     cosma7              00:00:17      0:0 
2058606_92.+      batch                     0   00:00:17      0:0 
2058606_92.+     extern                  119K   00:00:17      0:0 
2058606_93   FLARES-py+     cosma7              00:00:14      0:0 
2058606_93.+      batch                     0   00:00:14      0:0 
2058606_93.+     extern                  123K   00:00:14      0:0 
2058606_94   FLARES-py+     cosma7              00:00:16      0:0 
2058606_94.+      batch                     0   00:00:16      0:0 
2058606_94.+     extern                  123K   00:00:16      0:0 
2058606_95   FLARES-py+     cosma7              00:00:13      0:0 
2058606_95.+      batch                     0   00:00:13      0:0 
2058606_95.+     extern                  127K   00:00:13      0:0 
2058606_96   FLARES-py+     cosma7              00:00:16      0:0 
2058606_96.+      batch                     0   00:00:16      0:0 
2058606_96.+     extern                  127K   00:00:16      0:0 
2058606_97   FLARES-py+     cosma7              00:00:16      0:0 
2058606_97.+      batch                     0   00:00:16      0:0 
2058606_97.+     extern                  228K   00:00:16      0:0 
2058606_98   FLARES-py+     cosma7              00:00:08      0:0 
2058606_98.+      batch                     0   00:00:08      0:0 
2058606_98.+     extern                  250K   00:00:08      0:0 
2058606_99   FLARES-py+     cosma7              00:00:14      0:0 
2058606_99.+      batch                     0   00:00:14      0:0 
2058606_99.+     extern                  123K   00:00:14      0:0 
2058606_100  FLARES-py+     cosma7              00:00:17      0:0 
2058606_100+      batch                     0   00:00:17      0:0 
2058606_100+     extern                  234K   00:00:17      0:0 
2058606_101  FLARES-py+     cosma7              00:00:13      0:0 
2058606_101+      batch                     0   00:00:13      0:0 
2058606_101+     extern                  213K   00:00:13      0:0 
2058606_102  FLARES-py+     cosma7              00:00:04      0:0 
2058606_102+      batch                     0   00:00:04      0:0 
2058606_102+     extern                  246K   00:00:04      0:0 
2058606_103  FLARES-py+     cosma7              00:00:09      0:0 
2058606_103+      batch                     0   00:00:09      0:0 
2058606_103+     extern                  127K   00:00:09      0:0 
2058606_104  FLARES-py+     cosma7              00:00:09      0:0 
2058606_104+      batch                     0   00:00:09      0:0 
2058606_104+     extern                  123K   00:00:09      0:0 
2058606_105  FLARES-py+     cosma7              00:00:09      0:0 
2058606_105+      batch                     0   00:00:09      0:0 
2058606_105+     extern                  122K   00:00:09      0:0 
2058606_106  FLARES-py+     cosma7              00:00:09      0:0 
2058606_106+      batch                     0   00:00:09      0:0 
2058606_106+     extern                  127K   00:00:09      0:0 
2058606_107  FLARES-py+     cosma7              00:00:09      0:0 
2058606_107+      batch                     0   00:00:09      0:0 
2058606_107+     extern                  127K   00:00:09      0:0 
2058606_108  FLARES-py+     cosma7              00:00:09      0:0 
2058606_108+      batch                     0   00:00:09      0:0 
2058606_108+     extern                  123K   00:00:09      0:0 
2058606_109  FLARES-py+     cosma7              00:00:09      0:0 
2058606_109+      batch                     0   00:00:09      0:0 
2058606_109+     extern                  119K   00:00:09      0:0 
2058606_110  FLARES-py+     cosma7              00:00:09      0:0 
2058606_110+      batch                     0   00:00:09      0:0 
2058606_110+     extern                  123K   00:00:09      0:0 
2058606_111  FLARES-py+     cosma7              00:00:09      0:0 
2058606_111+      batch                     0   00:00:09      0:0 
2058606_111+     extern                  127K   00:00:09      0:0 
2058606_112  FLARES-py+     cosma7              00:00:09      0:0 
2058606_112+      batch                     0   00:00:09      0:0 
2058606_112+     extern                  126K   00:00:09      0:0 
2058606_113  FLARES-py+     cosma7              00:00:09      0:0 
2058606_113+      batch                     0   00:00:09      0:0 
2058606_113+     extern                  253K   00:00:09      0:0 
2058606_114  FLARES-py+     cosma7              00:00:09      0:0 
2058606_114+      batch                     0   00:00:09      0:0 
2058606_114+     extern                  185K   00:00:09      0:0 
2058606_115  FLARES-py+     cosma7              00:00:09      0:0 
2058606_115+      batch                     0   00:00:09      0:0 
2058606_115+     extern                  255K   00:00:09      0:0 
2058606_116  FLARES-py+     cosma7              00:00:09      0:0 
2058606_116+      batch                     0   00:00:09      0:0 
2058606_116+     extern                  245K   00:00:09      0:0 
2058606_117  FLARES-py+     cosma7              00:00:09      0:0 
2058606_117+      batch                     0   00:00:09      0:0 
2058606_117+     extern                  254K   00:00:09      0:0 
2058606_118  FLARES-py+     cosma7              00:00:09      0:0 
2058606_118+      batch                     0   00:00:09      0:0 
2058606_118+     extern                  123K   00:00:09      0:0 
2058606_119  FLARES-py+     cosma7              00:00:09      0:0 
2058606_119+      batch                     0   00:00:09      0:0 
2058606_119+     extern                  119K   00:00:09      0:0 
2058606_120  FLARES-py+     cosma7              00:00:09      0:0 
